"CHART","VAR","SEXF","HTCMGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","HTWT",1,"[93,94)",-1.623204367,13.60723197,0.079593737,11.9006578,12.08409573,12.38161332,12.92453941,13.60723197,14.39341959,15.21246325,15.76484189,16.1529576
"CDC","HTWT",1,"[94,95)",-1.759750536,13.84412275,0.080121122,12.11201227,12.29680209,12.5971797,13.14757603,13.84412275,14.65302443,15.5042068,16.08356951,16.49337198
"CDC","HTWT",1,"[95,96)",-1.896722704,14.08464853,0.080715361,12.32555163,12.51179974,12.81522219,13.37349756,14.08464853,14.91769089,15.80352641,16.41242128,16.84623319
"CDC","HTWT",1,"[96,97)",-2.031079769,14.32925018,0.081372938,12.54141939,12.72928607,13.03601505,13.60268237,14.32925018,15.1878468,16.11078394,16.75173457,17.21190355
"CDC","HTWT",1,"[97,98)",-2.159985258,14.57837334,0.082090922,12.75976132,12.9494582,13.25983009,13.83550775,14.57837334,15.4639243,16.42631821,17.10178143,17.59063809
"CDC","HTWT",1,"[98,99)",-2.280992946,14.8324557,0.082866693,12.98073439,13.17251854,13.48693728,14.07234276,14.8324557,15.74634796,16.7504403,17.46276845,17.9825849
"CDC","HTWT",1,"[99,100)",-2.392125361,15.09192012,0.083697706,13.20451042,13.39867734,13.71760521,14.31354493,15.09192012,16.03552754,17.08342993,17.83483458,18.38778042
"CDC","HTWT",1,"[100,101)",-2.491985117,15.35716167,0.08458092,13.43128538,13.62815947,13.95210374,14.55945515,15.35716167,16.33184172,17.42552542,18.21805007,18.80615497
"CDC","HTWT",1,"[101,102)",-2.579688446,15.62854849,0.085512655,13.66127661,13.86120318,14.19070443,14.81039951,15.62854849,16.63563645,17.77692011,18.61241094,19.23752318
"CDC","HTWT",1,"[102,103)",-2.654922113,15.90640903,0.086487929,13.89473275,14.09806774,14.43368432,15.06668553,15.90640903,16.94720609,18.13774777,19.01783635,19.68159413
"CDC","HTWT",1,"[103,104)",-2.717782155,16.19103966,0.087500575,14.13192569,14.33902847,14.68132531,15.32860703,16.19103966,17.2667985,18.50808075,19.43416015,20.13795636
"CDC","HTWT_GT2YR",0,"[77,77]",-0.999294215,10.27440527,0.077115837,8.972918744,9.11781325,9.350303042,9.766407722,10.27440527,10.83812738,11.4011129,11.7668991,12.01728627
"CDC","HTWT_GT2YR",0,"(77,78)",-0.979897716,10.38901871,0.076995353,9.073267731,9.219922075,9.455148545,9.875875665,10.38901871,10.95778248,11.52507288,11.8932524,12.14509038
"CDC","HTWT_GT2YR",0,"[78,79)",-0.943555181,10.61724901,0.076769511,9.27309208,9.423242003,9.663907823,10.09383533,10.61724901,11.19612673,11.77212488,12.14519668,12.40002986
"CDC","HTWT_GT2YR",0,"[79,80)",-0.91080778,10.84432907,0.076564374,9.47192154,9.625531353,9.871587899,10.31065794,10.84432907,11.43339148,12.01827111,12.39640999,12.65438854
"CDC","HTWT_GT2YR",0,"[80,81)",-0.882026316,11.07048885,0.076380766,9.669970612,9.827000834,10.07839639,10.52655452,11.07048885,11.66984493,12.26383357,12.6472562,12.90856157
"CDC","HTWT_GT2YR",0,"[81,82)",-0.857561667,11.29597453,0.076219662,9.867465098,10.02787289,10.28455342,10.7417502,11.29597453,11.90577397,12.50915553,12.89812222,13.16296835
"CDC","HTWT_GT2YR",0,"[82,83)",-0.837750377,11.52104655,0.07608215,10.06464125,10.22838074,10.49029047,10.95648264,11.52104655,12.14148209,12.75459958,13.14941636,13.41805131
"CDC","HTWT_GT2YR",0,"[83,84)",-0.822919198,11.74597768,0.075969382,10.26174496,10.4287674,10.69584915,11.17100044,11.74597768,12.37728721,13.00054571,13.40156684,13.6742748
"CDC","HTWT_GT2YR",0,"[84,85)",-0.813388595,11.97105103,0.075882537,10.45903091,10.62928475,10.90148006,11.38556161,11.97105103,12.61351947,13.24738933,13.6550202,13.93212398
"CDC","HTWT_GT2YR",0,"[85,86)",-0.809475279,12.19655799,0.075822785,10.65676178,10.83019257,11.10744159,11.60043192,12.19655799,12.85051907,13.49553926,13.91023979,14.19210372
"CDC","HTWT_GT2YR",0,"[86,87)",-0.811493792,12.4227963,0.075791244,10.85520745,11.03175764,11.31399881,11.81588337,12.4227963,13.08863398,13.74541572,14.1677042,14.45473759
"CDC","HTWT_GT2YR",0,"[87,88)",-0.8197572,12.65006791,0.075788944,11.0546442,11.2342528,11.52142229,12.03219261,12.65006791,13.32821763,13.99744832,14.42790576,14.72056689
"CDC","HTWT_GT2YR",0,"[88,89)",-0.834576932,12.87867701,0.07581679,11.25535391,11.43795604,11.729987,12.24963938,12.87867701,13.56962661,14.25207386,14.691349,14.99014975
"CDC","HTWT_GT2YR",0,"[89,90)",-0.856261805,13.10892794,0.075875517,11.45762324,11.64314963,11.93997121,12.46850502,13.10892794,13.81321822,14.50973427,14.95854908,15.26406025
"CDC","HTWT_GT2YR",0,"[90,91)",-0.885116299,13.34112314,0.075965652,11.66174286,11.85011921,12.15165548,12.68907093,13.34112314,14.05934806,14.77087425,15.23003025,15.54288768
"CDC","HTWT_GT2YR",0,"[91,92)",-0.921432943,13.5755615,0.076087468,11.86800626,12.05915274,12.36532155,12.91161745,13.5755615,14.30836781,15.03593913,15.50632408,15.82723547
"CDC","HTWT_GT2YR",0,"[92,93)",-0.965501267,13.81253552,0.076240931,12.07670968,12.27054003,12.58125142,13.13642188,13.81253552,14.56062192,15.30537214,15.78796821,16.11772149
